stage,feature_set,n_mixed_subjects,accuracy_mean,accuracy_sd,balanced_accuracy_mean,balanced_accuracy_sd,macro_f1_mean,macro_f1_sd,class0_recall_mean,class0_recall_sd,class1_recall_mean,class1_recall_sd,roc_auc_mean,roc_auc_sd
Stage 2,temporal,8,0.792729758217671,0.10785736368317109,0.6313884119596951,0.09749389662900527,0.5933873532754059,0.09104722481549771,0.61366560828877,0.27845880262281836,0.64911121563062,0.3348885956230104,0.6856347414670805,0.16721785608236675
Stage 2,spectral,8,0.6152518604113287,0.13771178024625882,0.6378010233768396,0.13150859202773899,0.5156136179502065,0.13291286459543517,0.6403088792335117,0.24156917931500055,0.6352931675201676,0.10262445477947899,0.6505617417202285,0.15540378036145533
Stage 2,combined,8,0.7632222013289363,0.09111742427654332,0.6343491823061431,0.11000426489623427,0.5855818751956106,0.09854087722960257,0.6552069407308379,0.22604835366106205,0.6134914238814484,0.30880571037156174,0.6729084011661561,0.14254353101283765
Stage 3,temporal,5,0.6489425770308122,0.17038324642011143,0.7424853690370933,0.1070198414313588,0.5959580840615323,0.17081129278733737,0.7130049261083744,0.18664347912175402,0.7719658119658119,0.24319386034058563,0.7419832849143194,0.20655395950793048
Stage 3,spectral,5,0.5991456582633052,0.23335365780518658,0.5716790871963287,0.18260746486546453,0.4517847400826124,0.08925636324320782,0.7081444991789819,0.2822673376153612,0.43521367521367527,0.4376061698712855,0.5962028967201382,0.1826875004979489
Stage 3,combined,5,0.6256325863678804,0.20887664256195881,0.597671255947118,0.14177801969958154,0.48340025899432837,0.05965600926266925,0.7293596059113301,0.23629859477449744,0.4659829059829059,0.41783876343663695,0.734039829901899,0.06132645373901735
