stage,n_outer_folds,accuracy_mean,accuracy_sd,balanced_accuracy_mean,balanced_accuracy_sd,macro_f1_mean,macro_f1_sd,class0_recall_mean,class0_recall_sd,class1_recall_mean,class1_recall_sd,roc_auc_mean,roc_auc_sd,mcc_mean,mcc_sd
Stage 1,5,0.8602775688280427,0.047621541484334014,0.8766547590023521,0.03412329228710492,0.8347657364814374,0.048654919919390124,0.8376737524108133,0.08761224176005243,0.9156357655938908,0.041320026290647065,0.9336288231721364,0.03186573079864183,0.6961787673456075,0.08070457957916413
Stage 2,5,0.7214472541860408,0.06283732108308686,0.7265073203679159,0.06520574688896902,0.6843474505799227,0.047860039333229985,0.7325916674826699,0.13071099368392558,0.720422973253162,0.10912465941337679,0.8253411583195567,0.05341184601154518,0.4097312373029355,0.09210227331048321
Stage 3,5,0.6731361109769776,0.15943703701816,0.6558386242523616,0.13809803682541297,0.5892362832657876,0.17136575222977887,0.7,0.30912061651652345,0.6116772485047234,0.37644221451580423,0.7129394917612277,0.1488212652300262,0.31985025552962687,0.21107124801497432
