stage,model,n_outer_folds,accuracy_mean,accuracy_sd,balanced_accuracy_mean,balanced_accuracy_sd,macro_f1_mean,macro_f1_sd,class0_recall_mean,class0_recall_sd,class1_recall_mean,class1_recall_sd,roc_auc_mean,roc_auc_sd
Stage 1,logistic_regression,5,0.8220466718282349,0.023781099783334415,0.8332454793824384,0.03061352052084564,0.789900265112351,0.04216960059415786,0.79639680663254,0.03358196606057376,0.8700941521323367,0.08050510601322518,0.9121465889280047,0.03466184927521879
Stage 1,rbf_svm,5,0.8276485449148158,0.030904692654578344,0.8451772312633892,0.03204686231615515,0.7992579238519697,0.028830292804654597,0.7956368438453696,0.05456514187791564,0.8947176186814086,0.06937353021462567,0.9108339507370544,0.032771913719448674
Stage 1,random_forest,5,0.859293433922755,0.022679865850863724,0.8365672541847939,0.044034273033278594,0.8206443399913759,0.04227557297841959,0.8708748280290275,0.03333998042381686,0.8022596803405604,0.10900689112511411,0.9246165872092019,0.029116257857894342
Stage 2,logistic_regression,5,0.7729462805451099,0.07644596715764362,0.7300616137526241,0.04374504772816512,0.7199383445974658,0.05669977417541934,0.6988039884302991,0.160101036920801,0.7613192390749491,0.13182184179227402,0.81611443683949,0.05286215283566344
Stage 2,rbf_svm,5,0.7596659822429636,0.09468700093085103,0.7244656327448926,0.06872642413317379,0.7063158995068571,0.08794082862397855,0.7267509962390097,0.21437410597799997,0.7221802692507757,0.15933680761085803,0.7899056128429394,0.07456911166219549
Stage 2,random_forest,5,0.7331824896191416,0.08104218002447314,0.6991332035090515,0.03841958702780945,0.6811522325682772,0.04727490143229257,0.643098128314571,0.11058814737354715,0.755168278703532,0.13654708791135106,0.7879073952635215,0.04387184267008118
Stage 3,logistic_regression,5,0.7015680934882123,0.14394540554682936,0.6656234096589932,0.13345170702500117,0.6352127068427758,0.13412858549688833,0.5549096880131363,0.2905204543183388,0.7763371313048502,0.19058947824556258,0.7838604013361594,0.14585250183566528
Stage 3,rbf_svm,5,0.5959136260597658,0.12684639477837215,0.6011511138785356,0.09820157047464301,0.5448781924455072,0.10379044169810368,0.5594417077175697,0.2719477549822187,0.6428605200395013,0.21960356880577805,0.6955022835267604,0.08042891185829522
Stage 3,random_forest,5,0.680247604130358,0.13503016831450698,0.6168816219813102,0.09554074595491521,0.5859990829082703,0.11557625948111094,0.43090311986863716,0.27037037049348833,0.8028601240939836,0.19470738311680238,0.7011065416303383,0.126491754062608
