outer_fold,stage,seed,best_epoch,best_validation_BA,n_validation,n_test,accuracy,balanced_accuracy,macro_f1,class0_recall,class1_recall,mcc,roc_auc
1,Stage 1,42,15,0.9258639910813824,871,690,0.863768115942029,0.8967455668019391,0.7998148148148148,0.8485370051635112,0.944954128440367,0.6468095701626707,0.9396800833741257
1,Stage 1,43,8,0.9216833890746934,871,690,0.8478260869565217,0.8686462757978177,0.7769252322348428,0.8382099827882961,0.8990825688073395,0.6000340224476493,0.9244421986767515
1,Stage 1,44,24,0.9283723522853957,871,690,0.8840579710144928,0.9087937595730234,0.8235767888418711,0.8726333907056799,0.944954128440367,0.6827948748190166,0.9474648265407632
1,Stage 1,45,16,0.9243908265647396,871,690,0.8782608695652174,0.879265423423708,0.8097826086956521,0.8777969018932874,0.8807339449541285,0.6459002935269157,0.9415433687568098
1,Stage 1,46,8,0.93052237617455,871,690,0.8681159420289855,0.8956007516303748,0.8038272279934391,0.8554216867469879,0.9357798165137615,0.6503043791710383,0.9389221367777795
1,Stage 2,42,12,0.7224834730457302,274,109,0.7155963302752294,0.7144180874722017,0.7011057054400707,0.7183098591549296,0.7105263157894737,0.41263647288445204,0.8361749444032617
1,Stage 2,43,8,0.6956995842704287,274,109,0.6697247706422018,0.6853224610822832,0.6614906832298137,0.6338028169014085,0.7368421052631579,0.35326515549807563,0.7916975537435137
1,Stage 2,44,9,0.6801267634430587,274,109,0.6788990825688074,0.6862490733876946,0.6677118717881718,0.6619718309859155,0.7105263157894737,0.3557508973755719,0.829873980726464
1,Stage 2,45,5,0.6882368977032645,274,109,0.6697247706422018,0.6853224610822832,0.6614906832298137,0.6338028169014085,0.7368421052631579,0.35326515549807563,0.7483320978502594
1,Stage 2,46,8,0.687657602398964,274,109,0.7339449541284404,0.7285025945144552,0.7178937974118698,0.7464788732394366,0.7105263157894737,0.44232945476533914,0.8387694588584136
1,Stage 3,42,3,0.6050156739811913,73,71,0.8169014084507042,0.7619047619047619,0.7433972755073672,0.6666666666666666,0.8571428571428571,0.49151734271851666,0.8690476190476191
1,Stage 3,43,1,0.609717868338558,73,71,0.7887323943661971,0.5976190476190476,0.6108878333942273,0.26666666666666666,0.9285714285714286,0.2520512971341335,0.9083333333333334
1,Stage 3,44,6,0.5654388714733543,73,71,0.8450704225352113,0.8773809523809524,0.8055763007219319,0.9333333333333333,0.8214285714285714,0.6513209760530313,0.9345238095238094
1,Stage 3,45,3,0.570141065830721,73,71,0.8309859154929577,0.7464285714285714,0.7464285714285714,0.6,0.8928571428571429,0.4928571428571429,0.8869047619047619
1,Stage 3,46,4,0.5419278996865204,73,71,0.8169014084507042,0.8351190476190476,0.7702265372168284,0.8666666666666667,0.8035714285714286,0.5783812452963039,0.8845238095238095
2,Stage 1,42,17,0.89708607907743,847,615,0.7967479674796748,0.837296511627907,0.7939234561348485,0.7025,0.9720930232558139,0.6447824390348327,0.9281744186046512
2,Stage 1,43,9,0.8913680669961559,847,615,0.7934959349593496,0.8358720930232557,0.7909400670769082,0.695,0.9767441860465116,0.6426742247007864,0.8842093023255814
2,Stage 1,44,6,0.8892366831411312,847,615,0.7934959349593496,0.8380232558139535,0.7912351087459139,0.69,0.986046511627907,0.6475213037552101,0.9086279069767442
2,Stage 1,45,10,0.9007688083470621,847,615,0.8146341463414634,0.8510465116279069,0.8111952517396643,0.73,0.9720930232558139,0.6698940492508573,0.9209302325581394
2,Stage 1,46,9,0.8690794892915981,847,615,0.7967479674796748,0.8383720930232558,0.7940802250050225,0.7,0.9767441860465116,0.6471342102702866,0.9028953488372092
2,Stage 2,42,2,0.7244209234545176,241,215,0.7255813953488373,0.8190457203615098,0.6930429522081065,0.9772727272727273,0.6608187134502924,0.5158152762815118,0.9545454545454546
2,Stage 2,43,3,0.6678171498696119,241,215,0.7767441860465116,0.8258904837852206,0.7330298013245033,0.9090909090909091,0.7426900584795322,0.5389528554389605,0.8985911749069644
2,Stage 2,44,4,0.6876438104003681,241,215,0.8,0.8067517278043594,0.7447895100069013,0.8181818181818182,0.7953216374269005,0.5262971113004971,0.8677565124933545
2,Stage 2,45,4,0.6762156772511121,241,215,0.8511627906976744,0.8304758107389686,0.7943567670970828,0.7954545454545454,0.8654970760233918,0.600800441040909,0.8930090377458798
2,Stage 2,46,3,0.6992636907501151,241,215,0.7813953488372093,0.7866161616161615,0.7240654269408263,0.7954545454545454,0.7777777777777778,0.4883705449021426,0.883705475810739
2,Stage 3,42,3,0.6219908913467794,82,44,0.5681818181818182,0.65,0.5493261455525607,0.8,0.5,0.2538130269146541,0.7735294117647059
2,Stage 3,43,13,0.6629798308392973,82,44,0.5227272727272727,0.6205882352941177,0.5103338632750398,0.8,0.4411764705882353,0.20757165646340406,0.65
2,Stage 3,44,1,0.6958360442420299,82,44,0.25,0.44411764705882356,0.2401883830455259,0.8,0.08823529411764706,-0.1475797711023173,0.6529411764705882
2,Stage 3,45,19,0.6896551724137931,82,44,0.5,0.5705882352941176,0.48290598290598286,0.7,0.4411764705882353,0.12033136751923736,0.6088235294117647
2,Stage 3,46,19,0.6802212101496421,82,44,0.5,0.5352941176470588,0.47276688453159044,0.6,0.47058823529411764,0.05940885257860046,0.638235294117647
3,Stage 1,42,11,0.9307693890287141,822,680,0.8352941176470589,0.8384835970283108,0.8065807251191093,0.8316633266533067,0.8453038674033149,0.6278865026294517,0.8913739080370686
3,Stage 1,43,14,0.9181439749823408,822,680,0.825,0.8279487151097775,0.7953045515140936,0.8216432865731463,0.8342541436464088,0.6065876033297405,0.8838118225401079
3,Stage 1,44,23,0.9368695008126624,822,680,0.8338235294117647,0.8603671431260311,0.8112850739853872,0.8036072144288577,0.9171270718232044,0.6536061259603132,0.9007296360677155
3,Stage 1,45,6,0.9129696811757202,822,680,0.8132352941176471,0.8392973792889646,0.7893447881373503,0.7835671342685371,0.8950276243093923,0.612951695461197,0.8739135730023583
3,Stage 1,46,14,0.9416186041408066,822,680,0.836764705882353,0.8535690164860107,0.8119539302077027,0.8176352705410822,0.8895027624309392,0.6471003004636295,0.8976516569049701
3,Stage 2,42,8,0.9129587310122329,259,182,0.7307692307692307,0.6865079365079365,0.6855762789549765,0.5714285714285714,0.8015873015873016,0.37120529672903124,0.7528344671201814
3,Stage 2,43,10,0.9187054711654792,259,182,0.7197802197802198,0.6934523809523809,0.6843179267421691,0.625,0.7619047619047619,0.37267799624996495,0.7453231292517006
3,Stage 2,44,22,0.9100013442667025,259,182,0.7252747252747253,0.6676587301587302,0.6708622685185186,0.5178571428571429,0.8174603174603174,0.3425800798515744,0.7244897959183674
3,Stage 2,45,8,0.9158489044226374,259,182,0.7527472527472527,0.6676587301587301,0.6795147720602621,0.44642857142857145,0.8888888888888888,0.37716825457067865,0.7879818594104309
3,Stage 2,46,5,0.9100685576018281,259,182,0.7747252747252747,0.7380952380952381,0.7369107640235518,0.6428571428571429,0.8333333333333334,0.4738791022072739,0.8139172335600906
3,Stage 3,42,6,0.6551319648093842,86,56,0.625,0.6170731707317073,0.5869336143308745,0.6,0.6341463414634146,0.20952908873087348,0.640650406504065
