model,n_valid_activity_strata,activity_equal_balanced_accuracy,activity_equal_roc_auc,min_within_activity_BA,max_within_activity_BA
logistic_regression,3,0.7762164375294626,0.8555947893019478,0.7317936545742749,0.8306667190816888
random_forest,3,0.8034991670846908,0.878314067328947,0.7830391681792424,0.8389515685195377
raw_temporal_cnn,3,0.8149571557351356,0.8564425899602289,0.7850595858964988,0.8387992373614278
rbf_svm,3,0.7796498674004694,0.8458005444037243,0.7304713486698917,0.8336936866105826
